corvid::Value	WHERE	MAPPED	corvid_value_* constructors + corvid_value_type	golden:values.txt:VTYPE
corvid::Value::Null	WHERE	MAPPED	corvid_value_* constructors + corvid_value_type	golden:values.txt:VTYPE
corvid::Value::Bool	WHERE	MAPPED	corvid_value_* constructors + corvid_value_type	golden:values.txt:VTYPE
corvid::Value::Int	WHERE	MAPPED	corvid_value_* constructors + corvid_value_type	golden:values.txt:VTYPE
corvid::Value::Float	WHERE	MAPPED	corvid_value_* constructors + corvid_value_type	golden:values.txt:VTYPE
corvid::Value::Text	WHERE	MAPPED	corvid_value_* constructors + corvid_value_type	golden:values.txt:VTYPE
corvid::Value::Bytes	WHERE	MAPPED	corvid_value_* constructors + corvid_value_type	golden:values.txt:VTYPE
corvid::Value::Array	WHERE	MAPPED	corvid_value_* constructors + corvid_value_type	golden:values.txt:VTYPE
corvid::Value::Map	WHERE	MAPPED	corvid_value_* constructors + corvid_value_type	golden:values.txt:VTYPE
corvid::Value::Vector	WHERE	MAPPED	corvid_value_* constructors + corvid_value_type	golden:values.txt:VTYPE
corvid::value::MAX_NESTING	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::encode	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::decode	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::get	WHERE	MAPPED	corvid_value_array_get / corvid_value_map_get	golden:values.txt:VNEST
corvid::Value::get_path	WHERE	MAPPED	corvid_value_array_get / corvid_value_map_get	golden:values.txt:VNEST
corvid::Value::as_bool	WHERE	MAPPED	corvid_value_as_bool/int/float, corvid_value_text/bytes/vector_ref	golden:values.txt:VAS_*/V*_REF
corvid::Value::as_int	WHERE	MAPPED	corvid_value_as_bool/int/float, corvid_value_text/bytes/vector_ref	golden:values.txt:VAS_*/V*_REF
corvid::Value::as_float	WHERE	MAPPED	corvid_value_as_bool/int/float, corvid_value_text/bytes/vector_ref	golden:values.txt:VAS_*/V*_REF
corvid::Value::as_text	WHERE	MAPPED	corvid_value_as_bool/int/float, corvid_value_text/bytes/vector_ref	golden:values.txt:VAS_*/V*_REF
corvid::Value::as_bytes	WHERE	MAPPED	corvid_value_as_bool/int/float, corvid_value_text/bytes/vector_ref	golden:values.txt:VAS_*/V*_REF
corvid::Value::as_vector	WHERE	MAPPED	corvid_value_as_bool/int/float, corvid_value_text/bytes/vector_ref	golden:values.txt:VAS_*/V*_REF
corvid::CmpOp	WHERE	MAPPED	CORVID_CMP_EQ..GE	golden:queries.txt:QF_*
corvid::CmpOp::Eq	WHERE	MAPPED	CORVID_CMP_EQ..GE	golden:queries.txt:QF_*
corvid::CmpOp::Ne	WHERE	MAPPED	CORVID_CMP_EQ..GE	golden:queries.txt:QF_*
corvid::CmpOp::Lt	WHERE	MAPPED	CORVID_CMP_EQ..GE	golden:queries.txt:QF_*
corvid::CmpOp::Le	WHERE	MAPPED	CORVID_CMP_EQ..GE	golden:queries.txt:QF_*
corvid::CmpOp::Gt	WHERE	MAPPED	CORVID_CMP_EQ..GE	golden:queries.txt:QF_*
corvid::CmpOp::Ge	WHERE	MAPPED	CORVID_CMP_EQ..GE	golden:queries.txt:QF_*
corvid::Predicate	WHERE	MAPPED	corvid_pred_* constructor family	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
